SKU*,Name,Google Shopping Title,Google Product Category,PLA Product Category,PLA Product Type,Show on Google Feed
RPGPetLoo,The Pet Loo Dog Toilet,"Pet Loo Original & Best Dog Toilet - For Unit, Patio & Indoor Use",Animals & Pet Supplies > Pet Supplies,Pet Loo,Pet Loo,y
SOL1000,Solvit Pupstep Plus Stairs,Solvit PupStairs Plus - Pet Stairs,Animals & Pet Supplies > Pet Supplies,PupStep,,y
SOL1010,Solvit Pupstep Plus - Large - 62278 (PTV17-16883),Solvit PupStep Plus Stairs - Large,Animals & Pet Supplies > Pet Supplies,PupStep,,y
SOL1020,Solvit Pupstep Plus - Extra Large - 62398 (PTV17-16884),Solvit PupStep Plus Stairs - Extra Large,Animals & Pet Supplies > Pet Supplies,PupStep,,y
SOL1030,Solvit PupStep Lite Stairs - 62362,Solvit PupStep Lite Stairs,Animals & Pet Supplies > Pet Supplies,PupStep,,y
SOL1040,Solvit Side Door Pet Ramp Adaptor - 62410,Solvit Side Door Ramp Adaptor,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1050,Solvit Triscope Ramp - 62420,Solvit Triscope Pet Ramp,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1060,Solvit Ultralite Bi-Fold Pet Ramp - 62321,Solvit Ultralite Bi-Fold Pet Ramp,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1069,Solvit Deluxe Telescoping Pet Ramp,Solvit Deluxe Telescoping Pet Ramp,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1070,Solvit Deluxe Telescoping Ramp - Medium - 62305,Solvit Deluxe Telescoping Pet Ramp - Medium,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1080,Solvit Deluxe Telescoping Ramp - Extra Large - PTV17-16899,Solvit Deluxe Telescoping Pet Ramp - Large,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1110,Solvit Car Cuddler - 62432,Solvit Car Cuddler,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,Solvit,y
SOL1120,Solvit Deluxe Bench Seat Cover - 62283,Solvit Deluxe Bench Seat Cover,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1130,Solvit Deluxe Hammock Seat Cover - 62339,Solvit Deluxe Hammock Seat Cover,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1140,Solvit Waterproof Bench Seat Cover - 62313,Solvit Waterproof Bench Seat Cover,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1150,Solvit Waterproof Hammock Seat Cover - 62314,Solvit Waterproof Hammock Cover,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1160,Solvit Waterproof Cargo Liner - 62316,Solvit Waterproof Cargo Liner,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1200,Solvit Standard Booster Seat,Solvit Standard Booster Seat,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1210,Solvit Standard Booster Seat - Medium - 62344,Solvit Standard Booster Seat - Medium,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1220,Solvit Standard Booster Seat - Large - 62345,Solvit Standard Booster Seat - Large,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1230,Solvit Standard Booster Seat - Extra Large - 62347,Solvit Solvit Standard Booster Seat - Extra Large,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1235,Solvit Deluxe Booster Seat,Solvit Deluxe Booster Seat,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1240,Solvit Deluxe Booster Seat - Large - 62346,Solvit Deluxe Booster Seat - Large,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1250,Solvit Deluxe Booster Seat - Extra Large - 62348,Solvit Deluxe Booster Seat - Extra Large,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1255,Solvit On Seat Booster,Solvit On Seat Pet Booster,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1260,Solvit Standard On Seat Booster - 62349,Solvit Standard On Seat Booster,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1270,Solvit Deluxe On Seat Booster - 62350,Solvit Deluxe On Seat Booster,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1310,Solvit Tubular Barrier 3 piece - 62409,Solvit Tubular 3 Piece Barrier,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1320,Solvit Front Seat Net Barrier - 62338,Solvit Front Seat Net Barrier,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1390,Solvit Lifting Aid - Rear Only,Solvit Lifting Aid - Rear Only,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1410,Solvit Lifting Aid - Rear Only - Medium - 62364,Solvit Lifting Aid - Rear Only - Medium,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1420,Solvit Lifting Aid - Rear Only - Large - 62365,Solvit Lifting Aid - Rear Only - Large,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1425,Solvit Lifting Aid - Full Body,Solvit Lifting Aid - Full Body,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1430,Solvit Lifting Aid - Full Body - Medium - 62366,Solvit Lifting Aid - Full Body - Medium,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
SOL1440,Solvit Lifting Aid - Full Body - Large - 62367,Solvit Lifting Aid - Full Body - Large,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Solvit,,y
